�������,"���, �","���, �","���, �","���, ����",
Багель,"
7.9 ","
9.4 ","
55.5 ","
339 "
Багет,"
7.5 ","
2.9 ","
51.4 ","
262 "
Багет мини с отрубями,"
6.4 ","
0.8 ","
39.1 ","
189 "
Багет чесночный,"
7.5 ","
15.0 ","
49.0 ","
360 "
Баранки,"
16.0 ","
1.0 ","
70.0 ","
336 "
Батард ржаной,"
7.9 ","
1.8 ","
49.7 ","
250 "
Батон Нарезной,"
7.5 ","
2.9 ","
50.9 ","
264 "
Батон Подмосковный,"
7.5 ","
2.6 ","
50.6 ","
261 "
Батон Пышный Зерновая коллекция,"
8.0 ","
2.5 ","
44.0 ","
230 "
Батон с пшеничными отрубями,"
9.2 ","
2.8 ","
51.4 ","
273 "
Батон Столичный,"
7.7 ","
0.8 ","
50.2 ","
243 "
Брецель,"
20.0 ","
6.0 ","
35.0 ","
300 "
Бриошь,"
5.2 ","
7.5 ","
57.2 ","
304 "
Брускетта,"
4.7 ","
23.0 ","
21.7 ","
315 "
Бублик,"
16.0 ","
1.0 ","
70.0 ","
336 "
Бублик Украинский,"
8.3 ","
6.4 ","
58.2 ","
328 "
Бублик Ярмарочный,"
8.5 ","
7.0 ","
58.3 ","
330 "
Булочка к чаю,"
7.2 ","
6.2 ","
51.0 ","
317 "
Булочка Калорийная,"
7.3 ","
9.6 ","
62.4 ","
363 "
Булочка отрубная,"
7.8 ","
1.8 ","
43.9 ","
220 "
Булочка Столичная,"
8.4 ","
2.2 ","
52.8 ","
270 "
Булочки 8 злаков,"
13.9 ","
5.3 ","
43.7 ","
277 "
Булочки Бургундские,"
0.7 ","
1.7 ","
55.0 ","
266 "
Булочки Бутербродные с кунжутом,"
9.6 ","
4.2 ","
59.5 ","
320 "
Булочки для гамбургеров,"
7.0 ","
4.0 ","
52.0 ","
272 "
Булочки для хот-догов,"
8.7 ","
7.5 ","
60.6 ","
339 "
Булочки пшеничные с кунжутом Коломенское,"
8.0 ","
5.0 ","
55.0 ","
300 "
Булочки сдобные,"
7.9 ","
9.4 ","
55.5 ","
339 "
Булочки сдобные с кардамоном Коломенское,"
8.0 ","
7.0 ","
62.0 ","
340 "
Ватрушка с творожной начинкой,"
10.0 ","
12.1 ","
46.1 ","
331 "
Волован,"
7.9 ","
29.9 ","
35.9 ","
435 "
Гренки пшеничные,"
11.4 ","
9.0 ","
65.7 ","
390 "
Гренки пшеничные кубики салатные,"
12.3 ","
5.2 ","
61.6 ","
342 "
