�������,"���, �","���, �","���, �","���, ����",
Барбарис,"
0.0 ","
0.0 ","
7.9 ","
29 "
Боярышник,"
0.0 ","
0.0 ","
14.0 ","
52 "
Брусника,"
0.7 ","
0.5 ","
9.6 ","
43 "
Брусника 4 сезона,"
0.7 ","
0.5 ","
8.2 ","
40 "
Брусника Hortex,"
0.7 ","
0.4 ","
7.5 ","
36 "
Брусника мочёная,"
0.3 ","
0.2 ","
5.3 ","
24 "
Бузина,"
0.7 ","
0.5 ","
11.4 ","
73 "
Виноград,"
0.6 ","
0.2 ","
16.8 ","
65 "
Виноград белый Дамские пальчики,"
0.6 ","
0.2 ","
13.5 ","
60 "
Виноград белый кишмиш,"
0.7 ","
0.2 ","
17.2 ","
69 "
Виноград фиолетовый ранний,"
0.6 ","
0.2 ","
16.8 ","
65 "
Голубика,"
1.0 ","
0.0 ","
8.2 ","
35 "
Ежевика,"
2.0 ","
0.0 ","
6.4 ","
31 "
Ежевика 4 сезона,"
2.1 ","
0.4 ","
4.6 ","
31 "
Ежевика Hortex,"
2.0 ","
0.0 ","
3.8 ","
23 "
Жимолость,"
0.0 ","
0.0 ","
7.8 ","
30 "
Земляника,"
0.8 ","
0.4 ","
7.5 ","
41 "
Ирга,"
0.0 ","
0.0 ","
12.0 ","
45 "
Калина,"
0.0 ","
0.0 ","
7.0 ","
26 "
Клубника,"
0.8 ","
0.4 ","
7.5 ","
41 "
Клубника 4 сезона,"
0.8 ","
0.1 ","
6.6 ","
34 "
Клубника Hortex,"
0.7 ","
0.4 ","
5.4 ","
32 "
Клубника консервированная,"
0.6 ","
0.3 ","
16.1 ","
65 "
Клюква,"
0.5 ","
0.0 ","
6.8 ","
26 "
Клюква 4 сезона,"
0.5 ","
0.2 ","
3.9 ","
18 "
Клюква Hortex,"
0.5 ","
0.0 ","
3.8 ","
17 "
Княженика,"
0.0 ","
0.0 ","
7.0 ","
26 "
Компотное ассорти Hortex с клубникой,"
1.1 ","
0.3 ","
3.2 ","
52 "
Крыжовник,"
0.7 ","
0.2 ","
12.0 ","
43 "
Лимонник,"
1.0 ","
0.0 ","
1.9 ","
11 "
Логанова ягода,"
1.5 ","
0.3 ","
7.7 ","
55 "
Малина,"
0.8 ","
0.5 ","
8.3 ","
46 "
Малина 4 сезона,"
0.8 ","
0.5 ","
8.3 ","
39 "
Можжевельник,"
0.0 ","
0.0 ","
31.0 ","
116 "
Морошка,"
0.8 ","
0.0 ","
9.8 ","
28 "
Облепиха,"
1.2 ","
5.4 ","
5.7 ","
82 "
Облепиха Hortex,"
1.2 ","
5.4 ","
5.7 ","
82 "
Рябина,"
1.5 ","
0.1 ","
10.9 ","
50 "
Смородина белая,"
0.5 ","
0.2 ","
8.0 ","
42 "
Смородина красная,"
0.6 ","
0.2 ","
7.7 ","
43 "
Смородина чёрная,"
1.0 ","
0.4 ","
7.3 ","
44 "
Смородина чёрная 4 сезона,"
1.0 ","
0.2 ","
6.1 ","
28 "
Смородина чёрная Hortex,"
1.3 ","
0.2 ","
7.0 ","
51 "
Фруктовая смесь Hortex с малиной,"
1.0 ","
0.3 ","
6.4 ","
40 "
Черника,"
1.1 ","
0.4 ","
7.6 ","
44 "
Черника 4 сезона,"
1.1 ","
0.6 ","
8.2 ","
43 "
Черника Hortex,"
1.1 ","
0.6 ","
6.0 ","
34 "
Черноплодная рябина,"
1.5 ","
0.2 ","
10.9 ","
55 "
Шефердия серебристая,"
0.5 ","
0.2 ","
3.7 ","
28 "
Шиповник,"
1.6 ","
0.0 ","
14.0 ","
51 "
Ягоды,"
0.9 ","
0.3 ","
7.5 ","
38 "
